Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Noord-Beveland,1695,GM1695,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Hattem,0244,GM0244,Noord-Veluwe,REG11,Noord-Veluwe,11,Gelderland,PV25
Zaltbommel,0297,GM0297,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Montferland,1955,GM1955,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Alkmaar,0361,GM0361,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Peel en Maas,1894,GM1894,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Sluis,1714,GM1714,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Westerkwartier,1969,GM1969,Groningen,REG01,Groningen,1,Groningen,PV20
Zoetermeer,0637,GM0637,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Borger-Odoorn,1681,GM1681,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Bergen (L),0893,GM0893,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Albrandswaard,0613,GM0613,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Best,0753,GM0753,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Oirschot,0823,GM0823,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Vijfheerenlanden,1961,GM1961,U16,REG15,U16,15,Utrecht,PV26
Uitgeest,0450,GM0450,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Heerlen,0917,GM0917,Parkstad,REG38,Parkstad,38,Limburg,PV31
Olst-Wijhe,1773,GM1773,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Ermelo,0233,GM0233,Noord-Veluwe,REG11,Noord-Veluwe,11,Gelderland,PV25
Terschelling,0093,GM0093,Friesland,REG02,Friesland,2,Fryslân,PV21
Vlaardingen,0622,GM0622,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Neder-Betuwe,1740,GM1740,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
Soest,0342,GM0342,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Hilvarenbeek,0798,GM0798,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
Berkelland,1859,GM1859,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Medemblik,0420,GM0420,West-Friesland,REG18,West-Friesland,18,Noord-Holland,PV27
Teylingen,1525,GM1525,Holland Rijnland,REG29,Holland Rijnland,29,Zuid-Holland,PV28
Rozendaal,0277,GM0277,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Dijk en Waard,1980,GM1980,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Landsmeer,0415,GM0415,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Eemsdelta,1979,GM1979,Groningen,REG01,Groningen,1,Groningen,PV20
Venlo,0983,GM0983,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Tilburg,0855,GM0855,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
De Wolden,1690,GM1690,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Moerdijk,1709,GM1709,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Midden-Groningen,1952,GM1952,Groningen,REG01,Groningen,1,Groningen,PV20
Halderberge,1655,GM1655,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Scherpenzeel,0279,GM0279,Foodvalley Gelderland,REG09,Foodvalley Gelderland,9,Gelderland,PV25
Dantumadiel,1891,GM1891,Friesland,REG02,Friesland,2,Fryslân,PV21
Oude IJsselstreek,1509,GM1509,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Opsterland,0086,GM0086,Friesland,REG02,Friesland,2,Fryslân,PV21
Harderwijk,0243,GM0243,Noord-Veluwe,REG11,Noord-Veluwe,11,Gelderland,PV25
Venray,0984,GM0984,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Noordenveld,1699,GM1699,Drenthe,REG03,Drenthe,3,Drenthe,PV22
"Nuenen, Gerwen en Nederwetten",0820,GM0820,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Maassluis,0556,GM0556,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Hilversum,0402,GM0402,Gooi en Vechtstreek,REG22,Gooi en Vechtstreek,22,Noord-Holland,PV27
Renswoude,0339,GM0339,Foodvalley Utrecht,REG10,Foodvalley Utrecht,10,Utrecht,PV26
Heumen,0252,GM0252,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Leudal,1640,GM1640,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Uithoorn,0451,GM0451,Amstelland,REG24,Amstelland,24,Noord-Holland,PV27
Heiloo,0399,GM0399,Regio Alkmaar,REG17,Regio Alkmaar,17,Noord-Holland,PV27
Texel,0448,GM0448,Kop van Noord-Holland,REG16,Kop van Noord-Holland,16,Noord-Holland,PV27
Aalten,0197,GM0197,Achterhoek,REG07,Achterhoek,7,Gelderland,PV25
Vlissingen,0718,GM0718,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Renkum,0274,GM0274,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Papendrecht,0590,GM0590,Drechtsteden,REG26,Drechtsteden,26,Zuid-Holland,PV28
Edam-Volendam,0385,GM0385,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Wassenaar,0629,GM0629,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Emmen,0114,GM0114,Drenthe,REG03,Drenthe,3,Drenthe,PV22
Weststellingwerf,0098,GM0098,Friesland,REG02,Friesland,2,Fryslân,PV21
West Betuwe,1960,GM1960,Fruitdelta Rivierenland,REG12,Fruitdelta Rivierenland,12,Gelderland,PV25
's-Gravenhage,0518,GM0518,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Etten-Leur,0777,GM0777,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Apeldoorn,0200,GM0200,Cleantech,REG13,Cleantech,13,Gelderland,PV25
Staphorst,0180,GM0180,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Gemert-Bakel,1652,GM1652,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Oudewater,0589,GM0589,U16,REG15,U16,15,Utrecht,PV26
Waalwijk,0867,GM0867,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
Waterland,0852,GM0852,Zaanstreek-Waterland,REG21,Zaanstreek-Waterland,21,Noord-Holland,PV27
Valkenswaard,0858,GM0858,Metropoolregio Eindhoven,REG34,Metropoolregio Eindhoven,34,Noord-Brabant,PV30
Noardeast-Fryslân,1970,GM1970,Friesland,REG02,Friesland,2,Fryslân,PV21
Roerdalen,1669,GM1669,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Roermond,0957,GM0957,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Bergen op Zoom,0748,GM0748,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Nunspeet,0302,GM0302,Noord-Veluwe,REG11,Noord-Veluwe,11,Gelderland,PV25
Schiedam,0606,GM0606,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Rijssen-Holten,1742,GM1742,Twente,REG04,Twente,4,Overijssel,PV23
Steenwijkerland,1708,GM1708,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
