Municipality,Gem_code_CBS,Municipality_ID,Region,Region_ID,RES,RES_ID,Provincie,Provincie_ID
Enschede,0153,GM0153,Twente,REG04,Twente,4,Overijssel,PV23
Tholen,0716,GM0716,Zeeland,REG32,Zeeland,32,Zeeland,PV29
Losser,0168,GM0168,Twente,REG04,Twente,4,Overijssel,PV23
Heerde,0246,GM0246,Cleantech,REG13,Cleantech,13,Gelderland,PV25
Maasgouw,1641,GM1641,Noord- en Midden-Limburg,REG37,Noord- en Midden-Limburg,37,Limburg,PV31
Hollands Kroon,1911,GM1911,Kop van Noord-Holland,REG16,Kop van Noord-Holland,16,Noord-Holland,PV27
Eemnes,0317,GM0317,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Waddinxveen,0627,GM0627,Midden-Holland,REG30,Midden-Holland,30,Zuid-Holland,PV28
Nijkerk,0267,GM0267,Foodvalley Gelderland,REG09,Foodvalley Gelderland,9,Gelderland,PV25
Baarle-Nassau,0744,GM0744,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Aalsmeer,0358,GM0358,Amstelland,REG24,Amstelland,24,Noord-Holland,PV27
Baarn,0308,GM0308,Amersfoort,REG14,Amersfoort,14,Utrecht,PV26
Nissewaard,1930,GM1930,Rotterdam/Den Haag,REG31,Rotterdam/Den Haag,31,Zuid-Holland,PV28
Bodegraven-Reeuwijk,1901,GM1901,Midden-Holland,REG30,Midden-Holland,30,Zuid-Holland,PV28
Lelystad,0995,GM0995,Flevoland,REG06,Flevoland,6,Flevoland,PV24
Raalte,0177,GM0177,West-Overijssel,REG05,West-Overijssel,5,Overijssel,PV23
Altena,1959,GM1959,West-Brabant,REG36,West-Brabant,36,Noord-Brabant,PV30
Overbetuwe,1734,GM1734,Arnhem/Nijmegen,REG08,Arnhem/Nijmegen,8,Gelderland,PV25
Oldenzaal,0173,GM0173,Twente,REG04,Twente,4,Overijssel,PV23
Heusden,0797,GM0797,Hart van Brabant,REG33,Hart van Brabant,33,Noord-Brabant,PV30
Achtkarspelen,0059,GM0059,Friesland,REG02,Friesland,2,Fryslân,PV21
Hoeksche Waard,1963,GM1963,Hoeksche Waard,REG28,Hoeksche Waard,28,Zuid-Holland,PV28
